Word,Score
co,18.608934635273965
re,18.374234383445707
friar,18.350382104303122
counter,18.31735191946942
cross,18.285908374094014
graduate,18.24957994671313
pop,18.24117989876457
rally,18.19687065541727
sub,18.196816894155877
chlorophyll,18.193349900096024
encompass,18.19174577981878
offensive,18.179604963968302
theorem,18.176480807159738
sound,18.16584671708618
width,18.15852436585981
drive,18.15478642447536
roll,18.12946470202161
spread,18.12575567289893
d,18.122179440031314
silver,18.118769583056864
split,18.118204803562335
mass,18.11190249811454
broadcast,18.109540761947855
interstate,18.10758923360669
delay,18.105934944612883
rebel,18.099654503079236
solo,18.09439049486748
drum,18.090509456464172
report,18.079992714076838
review,18.079905242240553
plural,18.07841454041702
gold,18.07698793603323
federalist,18.07630840821364
arch,18.071941093548894
quantum,18.069275807341906
genome,18.06527906071168
front,18.05907876774568
terminal,18.0557800011417
feast,18.054882930410646
welcome,18.05039139104558
famine,18.04980224204312
mandate,18.045928532685217
contest,18.03050489194783
mix,18.027992581920376
command,18.02507633768798
cap,18.024807647267394
count,18.023908013397058
dish,18.014933793930854
theologian,18.012799542889454
lossless,18.01102562420604
plan,18.00940616410125
micro,18.009144727796897
light,18.0083053870951
round,18.00611117633578
pilot,18.000431975420746
fire,17.99789284643929
cluster,17.997633559158796
guide,17.997269263702602
interior,17.99442004223381
southwest,17.992963727643016
award,17.99205325756572
bottom,17.989486133249365
love,17.985748081283642
rot,17.98146130117557
profit,17.9808699740002
parliment,17.980555546680122
samurai,17.97782574816463
resort,17.977255831856617
pack,17.973109910489466
hit,17.971234239807558
physics,17.971154240673048
peasant,17.969499157463638
shore,17.969416638705102
burial,17.96893189464655
ferry,17.965472656102435
intake,17.962526835367683
twin,17.962250410319292
fat,17.96151812027366
dictionary,17.958495465682226
trade,17.95758366817771
flash,17.95463416068448
associate,17.9531382860345
reconstruction,17.95284612941542
survey,17.952531766089297
acid,17.950659427450464
base,17.94782555552663
link,17.94680520925886
chemical,17.945175410078647
challenge,17.94309077133161
struggle,17.941698738425277
vice,17.940974431398157
preview,17.9404053413144
tram,17.93931627134437
search,17.938973424835886
mm,17.938201914449547
boot,17.937784488863837
magic,17.937574060332057
prose,17.936544823384217
honor,17.935466824814164
set,17.934198395220733
prey,17.934136191162988
narrative,17.933544499032642
madrasa,17.932679968775375
pine,17.931019474936495
clone,17.930539864499373
zone,17.930076951534105
store,17.928285991157825
spike,17.92727291039674
tournament,17.927141022262404
x,17.926849208817615
worship,17.926680103695215
malaria,17.923897262792202
hardwood,17.92338813857857
accounting,17.92325221275439
air,17.922652656213238
cardinal,17.921372873880657
northwest,17.920227121141625
f,17.919034485965685
os,17.915351662455276
fish,17.91497396758388
angiosperm,17.914871144115473
firm,17.914548223943573
massacre,17.913236239865135
dock,17.912821748411616
strip,17.912821748411616
core,17.911871100409165
representative,17.910342308374116
test,17.908987523531025
signal,17.908633629253387
arm,17.908223141544816
update,17.90750565973898
ascii,17.905609023742105
plain,17.904907466925394
progress,17.901712473467658
champion,17.900241044219907
train,17.898821788918
ban,17.898486706969578
suffix,17.89610789273464
project,17.895589136548722
tour,17.894182871172625
cathedral,17.894046725145373
servo,17.89298783485519
ex,17.888794647749894
revision,17.888113242988673
ground,17.887049874371638
hybrid,17.88627673436539
r,17.886204102820646
oak,17.885284130419105
cost,17.884824020492363
terrorism,17.88223297588538
e,17.882123740877713
pioneer,17.881297448165704
assistant,17.88114930424983
breakdown,17.879763903410417
mainland,17.8785805006059
transit,17.87843615676967
mainstream,17.87645112411162
map,17.874566048156126
force,17.873833602374685
siege,17.8718811025954
sensitivity,17.87150800598041
study,17.87142521279109
mail,17.86979564303673
pc,17.869093163637398
raid,17.868344281509373
m,17.867815763989277
demand,17.867138888269743
annelid,17.86614056081615
star,17.865694756316667
appeal,17.865526679234854
touch,17.86500889307045
transport,17.864309217289172
permit,17.861960599654637
alumnus,17.861275407262344
reform,17.861029261901507
experience,17.860215716845502
heartwood,17.858857002007586
exchange,17.85872858389801
fleet,17.8575768360187
spring,17.854697321520423
rebirth,17.853141760793303
order,17.85246791851655
conquest,17.85208467019822
farm,17.852014277965065
horse,17.851955353355113
leap,17.85064795880221
stepper,17.84999950349301
uniform,17.84833529618211
evil,17.84833529618211
gate,17.84708805605657
strike,17.846613655004038
record,17.846246986397244
logic,17.846220922110916
liquid,17.843828868821532
police,17.84335634400361
revolt,17.84270567030104
draft,17.841074507575282
boycott,17.84091354115318
block,17.83995783010159
garden,17.837221067898565
unification,17.836024597849395
layer,17.83470511544518
protection,17.832374188418022
shop,17.831964566750823
show,17.83173119109832
coastline,17.830616856559697
northeast,17.830135634823154
principle,17.8298574280453
rank,17.829312061742588
ward,17.82927189286521
copy,17.82799986289389
spy,17.826495231869288
framework,17.825078199107125
km,17.823102796895235
root,17.823024182190444
faculty,17.822895370667194
supply,17.82228012390505
control,17.82027200782004
insect,17.819430805970757
stimulus,17.81855418844199
judge,17.8184320751469
past,17.817241696055834
electron,17.81714745250785
code,17.817114966047697
note,17.81675185489869
divergence,17.816513540202045
premiere,17.816158715653458
slip,17.81526241089554
promise,17.81433884178063
blockade,17.81304702922408
radio,17.812896789522668
hydride,17.812259070623092
rock,17.811921978352867
purchase,17.810614587161034
list,17.810485473730658
man,17.809873463998514
phonology,17.809037973164216
desert,17.8085413920019
fiction,17.806238182511525
railway,17.80623479085047
view,17.80505628357521
geese,17.80450146756452
asphalt,17.803638978437665
regulation,17.803421772774662
impact,17.803096069052177
bulb,17.802588424176207
run,17.802090781704134
defense,17.80164446501439
isp,17.800874063616078
app,17.800758706438987
load,17.79996654840567
rugby,17.799785954860653
finance,17.79823180522588
headquarters,17.796675371902875
channel,17.794829383680668
debut,17.793059854768075
displace,17.792661435418314
work,17.79114995560834
origin,17.788321287493595
research,17.787970340821374
mandolin,17.787942121431072
flight,17.787689679192816
press,17.787323843732512
trust,17.787214896644077
o,17.787032453426434
historian,17.786884751519388
county,17.78650211409211
contract,17.786156392212074
age,17.78563491578394
board,17.784460006993317
staff,17.783632834659958
edict,17.78207284352853
census,17.781954489822336
clergy,17.780994904227743
decree,17.780795708074656
attack,17.778803231139225
parallel,17.778595043137308
head,17.778223830988168
target,17.77700840123708
port,17.77656260707126
layout,17.77631536950328
club,17.775687383822778
benefit,17.77561249968899
airport,17.775160721085875
fashion,17.77489115267651
peace,17.77258852637237
lock,17.772000607331233
supplement,17.771893245111325
cast,17.770237647085942
party,17.770022297001532
wire,17.76971340331352
dance,17.769502380717654
spectrum,17.768634979824242
youtube,17.766367517172736
series,17.766248877641246
explorer,17.76606647331198
treaty,17.765752215005932
chart,17.76421932092803
federalism,17.763551025057993
score,17.7630559263811
shopping,17.761709645842416
usb,17.760753074722416
city,17.758535320733937
iron,17.75453751157105
station,17.75435658751638
concert,17.75389603336006
act,17.753879084852645
end,17.753867261935625
matter,17.753564959508036
larvae,17.75354190666986
consumer,17.753286573632003
monopoly,17.753286573632003
operation,17.753283794215275
poem,17.753281604728915
conservation,17.75327184223435
foundation,17.753252730737096
conception,17.753249315941822
news,17.753245951677957
commander,17.753242980943806
district,17.753210970183467
treatise,17.75319785834232
chairman,17.75319785834232
licensing,17.75319785834232
boat,17.75319785834232
tech,17.75305921280747
corridor,17.75301046664668
semiconductor,17.752995474632726
shock,17.752995474632726
archipelago,17.752995474632726
sustainability,17.752995474632726
commissioner,17.752995474632726
golf,17.752995474632726
ambassador,17.752995474632726
angel,17.752979346338883
society,17.752943865357963
peak,17.752880690431788
freeway,17.752723550971023
mouse,17.752723550971023
cash,17.752723550971023
infantry,17.752723550971023
cab,17.752723550971023
endowment,17.752723550971023
camp,17.75251289540801
orchestra,17.752466788833274
statehood,17.752466788833274
approach,17.752361883072293
rom,17.752262277468052
prayer,17.752262277468052
tendency,17.752262277468052
cpu,17.752223238061028
forest,17.752070830615622
bear,17.75201284799224
protectorate,17.751791408018114
department,17.751708616451317
abbey,17.751695137237444
decay,17.751612568124415
speaker,17.75160326728542
monument,17.751560339919862
dream,17.751560339919862
pm,17.751560339919862
cheese,17.751560339919862
cruise,17.751560339919862
security,17.75147927255008
stadium,17.751461681060334
disco,17.75143194578274
manuscript,17.75143194578274
vocabulary,17.751354102415053
succession,17.750965824161128
parade,17.750671778272814
heritage,17.750671778272814
hockey,17.75049104083927
railroad,17.75049104083927
sporting,17.75047291061321
petroleum,17.75047291061321
girl,17.75047291061321
town,17.75047291061321
dna,17.750008108147895
bike,17.7497197366355
night,17.749597647790193
telephone,17.74942858741174
room,17.74930724876738
coalition,17.74917923484466
officer,17.74917923484466
phase,17.748875817758776
gin,17.74877540806559
priest,17.74846321090318
capital,17.74829100569557
ballet,17.7482775836057
wildlife,17.7482775836057
electroluminescence,17.7482775836057
supremacy,17.7482775836057
tribunal,17.7482775836057
photography,17.7482775836057
prophet,17.7482775836057
homeland,17.7482775836057
fighter,17.7482775836057
g,17.7482775836057
madrasah,17.7482775836057
anatomy,17.7482775836057
brick,17.7482775836057
sea,17.74807612890085
coast,17.74795403133203
football,17.747884151885334
castle,17.74664593803206
navigation,17.74607289791139
pyramid,17.74607289791139
presentation,17.74607289791139
journey,17.74607289791139
directive,17.74607289791139
dbms,17.74607289791139
consul,17.74607289791139
chip,17.74607289791139
battery,17.74607289791139
cat,17.74607289791139
plateau,17.74607289791139
commerce,17.745767863631468
youth,17.745242193958447
winter,17.745123347126647
canon,17.744267489112076
highway,17.74417378769776
partnership,17.74417378769776
resolution,17.74393391223708
talk,17.743676407371886
wall,17.743632448783693
mayor,17.74358303328493
chair,17.7433717512148
jazz,17.7433717512148
gdp,17.743087200146494
factory,17.742964010210148
house,17.74216061132386
ceo,17.742057267451056
bronze,17.74198724345206
cry,17.74189130002761
it,17.741738642159085
bill,17.741512787562755
point,17.74141590330173
war,17.74079512203945
banner,17.740417775636057
alliance,17.740417775636057
embassy,17.740417775636057
driver,17.740417775636057
refuge,17.740417775636057
restoration,17.7403211299644
cannon,17.7403211299644
spirometry,17.7403211299644
path,17.739857441261293
mature,17.739583431111782
emergency,17.739534325717166
debate,17.739293869918196
specification,17.73912477115837
stone,17.73912477115837
province,17.73910029702396
platinum,17.73833223164458
sunshine,17.73833223164458
counsel,17.73833223164458
cholera,17.73833223164458
formula,17.73833223164458
fortress,17.73833223164458
pier,17.737528227278744
recorder,17.737528227278744
protector,17.737528227278744
boardwalk,17.737528227278744
humanism,17.737528227278744
essence,17.737528227278744
lack,17.736599336058426
gay,17.73611915004792
school,17.735975479015
storm,17.73585343040037
sovereignty,17.735431509635582
box,17.73483693740939
audio,17.73479970078834
ocean,17.734354231827943
chemistry,17.734354231827943
foot,17.733829899974136
theater,17.733392503546117
freedom,17.7333725314728
voice,17.733181004750538
axis,17.732889646147463
labor,17.732863618224258
professor,17.732225097235528
bicycle,17.732009240525652
graduation,17.732009240525652
coach,17.732009240525652
license,17.731271724668964
estate,17.731183977974958
establishment,17.731183977974958
management,17.730873625472952
design,17.73058911311332
boom,17.730585144298136
initiative,17.730484530968123
account,17.730381189751515
charter,17.73029978512723
cabinet,17.73021472663587
deputy,17.729825375253412
enterprise,17.72970735801021
observer,17.72970735801021
mountain,17.72960455777017
baseball,17.729309898097895
livestock,17.729309898097895
grid,17.729309898097895
hat,17.729309898097895
shift,17.729099596697807
library,17.728971405890793
healthcare,17.72880047601346
reactor,17.72880047601346
wake,17.728105362527778
stem,17.727913779222384
bridge,17.72786066275081
advocate,17.72738767203452
village,17.72693061747382
missile,17.72693061747382
papacy,17.72693061747382
community,17.726794852857285
fitness,17.726718031873446
dust,17.726718031873446
gram,17.726718031873446
propaganda,17.726718031873446
state,17.726708251089054
world,17.726162245292116
request,17.725885655644426
mall,17.725260858579926
support,17.72523768816373
orthography,17.725148729822045
road,17.725055992012887
rent,17.725051773391467
division,17.724890296459733
office,17.724684416806603
campus,17.72438566649786
merit,17.724185165092077
yacht,17.724185165092077
depression,17.724185165092077
cable,17.723299245646007
centre,17.722833153621462
rice,17.72270447499066
transfer,17.72250984436207
globe,17.72173393645571
noise,17.721356326829813
pole,17.72104887475189
route,17.72089901858258
stream,17.720813035914
governor,17.71993000038277
sugar,17.71984686507247
conference,17.719832990385587
tennis,17.719610682680244
mission,17.719610682680244
communism,17.719610682680244
essay,17.719610682680244
bomber,17.719610682680244
subway,17.719610682680244
achievement,17.719610682680244
film,17.719463362714105
transition,17.719190028306453
clash,17.718867657422486
independence,17.71867644625998
disk,17.71833099955643
development,17.717885506745127
file,17.71784140109966
hospital,17.717081924885044
picture,17.717081924885044
focus,17.716209236159827
art,17.716131559754626
interference,17.71564507353263
firmware,17.71564507353263
beta,17.715591205368803
eye,17.71534697657574
epic,17.715192852377108
protestantism,17.714632817814188
cd,17.714415308839545
dam,17.71373074647407
director,17.71363172534058
poll,17.71363172534058
b,17.713558972431546
education,17.713380467503743
opera,17.71335751223471
tunnel,17.71335751223471
colony,17.71296360948941
intelligence,17.71296360948941
beidou-1,17.712759757035847
unity,17.712759757035847
speed,17.712686685668704
fault,17.712127770386246
circle,17.711826732817137
form,17.71153545009436
opposite,17.71146273575024
dye,17.711215525676955
